,path,emotion
0,data/emodb/wav/10b01Fa.wav,happy
1,data/emodb/wav/14a05Na.wav,neutral
2,data/emodb/wav/13a05Tc.wav,sad
3,data/emodb/wav/14b10Nb.wav,neutral
4,data/emodb/wav/13a02Nc.wav,neutral
5,data/emodb/wav/13b01Fc.wav,happy
6,data/emodb/wav/15b03Tc.wav,sad
7,data/emodb/wav/08a01Fd.wav,happy
8,data/emodb/wav/16a01Tb.wav,sad
9,data/emodb/wav/12b09Td.wav,sad
10,data/emodb/wav/03a02Nc.wav,neutral
11,data/emodb/wav/03a07Fb.wav,happy
12,data/emodb/wav/16b03Nb.wav,neutral
13,data/emodb/wav/16a02Nb.wav,neutral
14,data/emodb/wav/12b03Ta.wav,sad
15,data/emodb/wav/03a05Tc.wav,sad
16,data/emodb/wav/16a05Fc.wav,happy
17,data/emodb/wav/16a05Tb.wav,sad
18,data/emodb/wav/14a07Fd.wav,happy
19,data/emodb/wav/15a01Fb.wav,happy
20,data/emodb/wav/15b09Fa.wav,happy
21,data/emodb/wav/12b02Fb.wav,happy
22,data/emodb/wav/03a04Nc.wav,neutral
23,data/emodb/wav/12a05Nd.wav,neutral
24,data/emodb/wav/03a01Fa.wav,happy
25,data/emodb/wav/14a02Fd.wav,happy
26,data/emodb/wav/14b01Fa.wav,happy
27,data/emodb/wav/14a05Tc.wav,sad
28,data/emodb/wav/09a07Ta.wav,sad
29,data/emodb/wav/09b10Nd.wav,neutral
30,data/emodb/wav/14a05Fb.wav,happy
31,data/emodb/wav/13b10Fa.wav,happy
32,data/emodb/wav/08b02Ff.wav,happy
33,data/emodb/wav/14a04Tb.wav,sad
34,data/emodb/wav/11b10Td.wav,sad
35,data/emodb/wav/09b03Nb.wav,neutral
36,data/emodb/wav/15a02Ta.wav,sad
37,data/emodb/wav/13b02Fb.wav,happy
38,data/emodb/wav/08b03Nb.wav,neutral
39,data/emodb/wav/08a05Ta.wav,sad
40,data/emodb/wav/16a07Td.wav,sad
41,data/emodb/wav/13a01Fd.wav,happy
42,data/emodb/wav/03b10Na.wav,neutral
43,data/emodb/wav/10b02Na.wav,neutral
44,data/emodb/wav/16b09Fb.wav,happy
45,data/emodb/wav/14b09Fc.wav,happy
46,data/emodb/wav/16a01Nc.wav,neutral
47,data/emodb/wav/08b09Tb.wav,sad
